id,date,duration,notes
1,2025-06-04,1:00,
2,2025-06-11,1:00,
3,2025-06-01,0:30,
4,2025-06-02,0:30,
5,2025-06-18,0:30,"Clase de violin sin mucho estudio por equince de pie se corre lo demas para el dia sabado"
6,2025-06-21,1:15,
7,2025-06-27,1:15,"solo se vio laz ya que lidia no tenía el violín disponible en el último momento"
8,2025-06-28,2:00,"clase de recuperacion/error en el programa ya que esta clase era la que se debia de una hora pero aun asi salia que debia una hora asi que se puso de dos horas la clase"
9,2025-07-05,1:00,
10,2025-07-11,1:00,
11,2025-07-18,1:00,
